Player,Year,Cluster,OffPlayer,DefPlayer
s_Linas_Kleiza,2006,4,o_Linas_Kleiza,d_Linas_Kleiza
s_Brevin_Knight,2006,1,o_Brevin_Knight,d_Brevin_Knight
s_Yaroslav_Korolev,2006,4,o_Yaroslav_Korolev,d_Yaroslav_Korolev
s_Kyle_Korver,2006,0,o_Kyle_Korver,d_Kyle_Korver
s_Nenad_Krstic,2006,1,o_Nenad_Krstic,d_Nenad_Krstic
s_Toni_Kukoc,2006,3,o_Toni_Kukoc,d_Toni_Kukoc
s_Raef_LaFrentz,2006,1,o_Raef_LaFrentz,d_Raef_LaFrentz
s_Maciej_Lampe,2006,2,o_Maciej_Lampe,d_Maciej_Lampe
s_David_Lee,2006,4,o_David_Lee,d_David_Lee
s_Voshon_Lenard,2006,2,o_Voshon_Lenard,d_Voshon_Lenard
s_Rashard_Lewis,2006,1,o_Rashard_Lewis,d_Rashard_Lewis
s_Randy_Livingston,2006,2,o_Randy_Livingston,d_Randy_Livingston
s_Shaun_Livingston,2006,3,o_Shaun_Livingston,d_Shaun_Livingston
s_John_Lucas_III,2006,4,o_John_Lucas_III,d_John_Lucas_III
s_Tyronn_Lue,2006,4,o_Tyronn_Lue,d_Tyronn_Lue
s_Arvydas_Macijauskas,2006,4,o_Arvydas_Macijauskas,d_Arvydas_Macijauskas
s_Mark_Madsen,2006,3,o_Mark_Madsen,d_Mark_Madsen
s_Corey_Maggette,2006,4,o_Corey_Maggette,d_Corey_Maggette
s_Jamaal_Magloire,2006,1,o_Jamaal_Magloire,d_Jamaal_Magloire
s_Stephon_Marbury,2006,0,o_Stephon_Marbury,d_Stephon_Marbury
s_Shawn_Marion,2006,1,o_Shawn_Marion,d_Shawn_Marion
s_Sean_Marks,2006,2,o_Sean_Marks,d_Sean_Marks
s_Donyell_Marshall,2006,3,o_Donyell_Marshall,d_Donyell_Marshall
s_Rawle_Marshall,2006,4,o_Rawle_Marshall,d_Rawle_Marshall
s_Darrick_Martin,2006,4,o_Darrick_Martin,d_Darrick_Martin
s_Kenyon_Martin,2006,0,o_Kenyon_Martin,d_Kenyon_Martin
s_Kevin_Martin,2006,0,o_Kevin_Martin,d_Kevin_Martin
s_Desmond_Mason,2006,0,o_Desmond_Mason,d_Desmond_Mason
s_Jason_Maxiell,2006,4,o_Jason_Maxiell,d_Jason_Maxiell
s_Sean_May,2006,4,o_Sean_May,d_Sean_May
s_Rashad_McCants,2006,4,o_Rashad_McCants,d_Rashad_McCants
s_Walter_McCarty,2006,4,o_Walter_McCarty,d_Walter_McCarty
s_Antonio_McDyess,2006,3,o_Antonio_McDyess,d_Antonio_McDyess
s_Tracy_McGrady,2006,0,o_Tracy_McGrady,d_Tracy_McGrady
s_Jeff_McInnis,2006,2,o_Jeff_McInnis,d_Jeff_McInnis
s_Aaron_McKie,2006,2,o_Aaron_McKie,d_Aaron_McKie
s_Keith_McLeod,2006,0,o_Keith_McLeod,d_Keith_McLeod
s_Stanislav_Medvedenko,2006,2,o_Stanislav_Medvedenko,d_Stanislav_Medvedenko
s_Chris_Mihm,2006,0,o_Chris_Mihm,d_Chris_Mihm
s_Aaron_Miles,2006,4,o_Aaron_Miles,d_Aaron_Miles
s_C.J._Miles,2006,4,o_C.J._Miles,d_C.J._Miles
s_Darius_Miles,2006,4,o_Darius_Miles,d_Darius_Miles
s_Darko_Milicic,2006,4,o_Darko_Milicic,d_Darko_Milicic
s_Andre_Miller,2006,1,o_Andre_Miller,d_Andre_Miller
s_Brad_Miller,2006,1,o_Brad_Miller,d_Brad_Miller
s_Mike_Miller,2006,3,o_Mike_Miller,d_Mike_Miller
s_Yao_Ming,2006,0,o_Yao_Ming,d_Yao_Ming
s_Cuttino_Mobley,2006,1,o_Cuttino_Mobley,d_Cuttino_Mobley
s_Nazr_Mohammed,2006,3,o_Nazr_Mohammed,d_Nazr_Mohammed
s_Sergei_Monia,2006,4,o_Sergei_Monia,d_Sergei_Monia
s_Mikki_Moore,2006,4,o_Mikki_Moore,d_Mikki_Moore
s_Terence_Morris,2006,2,o_Terence_Morris,d_Terence_Morris
s_Alonzo_Mourning,2006,3,o_Alonzo_Mourning,d_Alonzo_Mourning
s_Troy_Murphy,2006,1,o_Troy_Murphy,d_Troy_Murphy
s_Lamond_Murray,2006,4,o_Lamond_Murray,d_Lamond_Murray
s_Ronald_Murray,2006,3,o_Ronald_Murray,d_Ronald_Murray
s_Dikembe_Mutombo,2006,3,o_Dikembe_Mutombo,d_Dikembe_Mutombo
